iter	Passed	Remaining
352	15753	6560
353	15799	6516
354	15848	6473
355	15892	6428
356	15955	6391
357	16000	6346
358	16044	6301
359	16097	6260
360	16140	6214
361	16192	6172
362	16236	6127
363	16280	6082
364	16325	6038
365	16368	5992
366	16416	5949
367	16462	5905
368	16554	5877
369	16603	5833
370	16662	5793
371	16707	5748
372	16754	5704
373	16798	5659
374	16842	5614
375	16887	5569
376	16932	5524
377	16977	5479
378	17022	5434
379	17069	5390
380	17116	5346
381	17161	5301
382	17207	5256
383	17251	5211
384	17295	5166
385	17340	5121
386	17415	5085
387	17461	5040
388	17510	4996
389	17552	4950
390	17597	4905
391	17683	4871
392	17727	4826
393	17793	4787
394	17858	4747
395	17907	4702
396	17953	4657
397	18001	4613
398	18048	4568
399	18095	4523
400	18141	4478
